date;month;hour;weather;num_territories_occupied;territory_id;total_female_presence;temperature;mean_umidity;TOA;GHI;BHI;DHI
12/dez;December;12;sunny;0;NA;0;30,1;43;11782888;9097522;8306003;791519
12/dez;December;16;sunny;0;NA;0;32,2;39;12862916;10010830;8759214;1251616
12/dez;December;13;sunny;2;LB_T3;1;31,7;39;13248134;10368971;9434688;934284
12/dez;December;15;sunny;0;NA;0;32;37;13807151;10850425;9682382;1168042
12/dez;December;14;sunny;0;NA;0;33,2;40;13938555;10971841;9912654;1059187
13/dez;December;10;sunny;0;NA;0;26,2;63;6954834;4957054;4103854;853199
13/dez;December;11;sunny;2;LB_T8;0;27,5;60;9626954;7241395;6241995;999400
13/dez;December;12;sunny;0;NA;0;28,5;51;11771300;9107197;8001896;1105301
13/dez;December;16;sunny;0;NA;0;31,6;43;12875718;10032173;8678383;1353790
13/dez;December;13;sunny;2;LB_T18;5;30,7;47;13241815;10395957;9209182;1186774
13/dez;December;15;sunny;0;NA;0;30,2;45;13813463;10883715;9582930;1300784
13/dez;December;14;sunny;0;NA;0;31,7;44;13938344;11007853;9765180;1242672
14/dez;December;10;sunny;0;NA;0;26,7;59;6935967;5017956;4190113;827844
14/dez;December;11;sunny;1;LB_T18;1;28,7;53;9610828;7376279;6587297;788982
14/dez;December;12;sunny;1;LB_T18;0;29,2;47;11759385;9287811;8523555;764257
14/dez;December;13;sunny;0;NA;0;30,6;41;13235291;10599595;9787883;811711
14/dez;December;14;sunny;0;NA;0;30;46;13938018;11231409;10389165;842243
14/dez;December;15;sunny;0;NA;0;31,5;39;13819719;11122573;10265214;857359
14/dez;December;16;sunny;0;NA;0;32;37;12888484;10281689;9425546;856143
